trade_id,symbol,side,detect_ts,entry_ts,entry_fill,notional_usd,rr_tp,rr_sl,ttl_hours,fees_bps,slip_bps,spread_bps
AGTUSDT_1760745600,AGTUSDT,buy,1760731200000,1760745606563,0.005413,40.96633951,13.5,4.0,80,10.0,40.0,3.0
TACUSDT_1760774400,TACUSDT,buy,1760760000000,1760774409930,0.004872,39.26122347,13.5,4.0,80,10.0,40.0,3.0
DMCUSDT_1760774400,DMCUSDT,buy,1760760000000,1760774411016,0.0029859,39.26122347,13.5,4.0,80,10.0,40.0,3.0
CROSSUSDT_1760817600,CROSSUSDT,buy,1760803200000,1760817609304,0.1238,42.37683833,13.5,4.0,80,10.0,40.0,3.0
ENAUSDT_1760889600,ENAUSDT,buy,1760875200000,1760889602207,0.4973,40.41124872,13.5,4.0,80,10.0,40.0,3.0
CROSSUSDT_1760947200,CROSSUSDT,buy,1760932800000,1760947202584,0.13555,38.73404826,13.5,4.0,80,10.0,40.0,3.0
CROSSUSDT_1760947200,CROSSUSDT,buy,1760932800000,1760961601895,0.13555,39.43337145,13.5,4.0,80,10.0,40.0,3.0
LINKUSDT_1760961600,LINKUSDT,buy,1760947200000,1760976003142,18.998,38.61322259,13.5,4.0,80,10.0,40.0,3.0
APTUSDT_1761076800,APTUSDT,buy,1761062400000,1761076812489,3.311,38.16457259,13.5,4.0,80,10.0,40.0,3.0
ALGOUSDT_1761076800,ALGOUSDT,buy,1761062400000,1761076813721,0.1894,38.16457259,13.5,4.0,80,10.0,40.0,3.0
PROMPTUSDT_1761076800,PROMPTUSDT,buy,1761062400000,1761076815653,0.08937,38.16457259,13.5,4.0,80,10.0,40.0,3.0
PENDLEUSDT_1761076800,PENDLEUSDT,buy,1761062400000,1761076816392,3.2836,38.16457259,13.5,4.0,80,10.0,40.0,3.0
ZECUSDT_1761177600,ZECUSDT,sell,1761163200000,1761177604345,238.3,37.07224328,13.5,4.0,80,10.0,40.0,3.0
KASUSDT_1761220800,KASUSDT,buy,1761206400000,1761220801830,0.0511,35.54153668,13.5,4.0,80,10.0,40.0,3.0
EPTUSDT_1761220800,EPTUSDT,buy,1761206400000,1761220802289,0.004342,35.54153668,13.5,4.0,80,10.0,40.0,3.0
HUSDT_1761350400,HUSDT,buy,1761336000000,1761350400000,0.3797,33.1840932,13.5,4.0,80,10.0,40.0,3.0
DOODUSDT_1761364800,DOODUSDT,buy,1761350400000,1761364800000,0.008896,31.74525481,13.5,4.0,80,10.0,40.0,3.0
