trade_id,symbol,side,category,equity_before,free_cash_before,usd_alloc,detect_px,fill_px,drift_pct,tp_pre,sl_pre,tp_final,sl_final,ttl_hours,fees_bps,slip_bps,ts_utc
AGTUSDT_1760745600,AGTUSDT,buy,linear,40.97745224,0.0,40.96633951,0.005413,0.005413,0.0,0.006143755,0.00519648,0.006143755,0.00519648,80,10.0,40.0,2025-10-18 00:00:06
TACUSDT_1760774400,TACUSDT,buy,linear,39.03342144,0.0,39.26122347,0.004872,0.004872,0.0,0.00552972,0.0046771199999999,0.00552972,0.0046771199999999,80,10.0,40.0,2025-10-18 08:00:09
DMCUSDT_1760774400,DMCUSDT,buy,linear,39.07796144,0.0,39.26122347,0.0029859,0.0029859,0.0,0.0033889965,0.002866464,0.0033889965,0.002866464,80,10.0,40.0,2025-10-18 08:00:11
CROSSUSDT_1760817600,CROSSUSDT,buy,linear,42.29263724,0.0,42.37683833,0.1238,0.1238,0.0,0.140513,0.118848,0.140513,0.118848,80,10.0,40.0,2025-10-18 20:00:09
ENAUSDT_1760889600,ENAUSDT,buy,linear,40.38716742,0.0896674199999978,40.41124872,0.4973,0.4973,0.0,0.5644355000000001,0.477408,0.5644355000000001,0.477408,80,10.0,40.0,2025-10-19 16:00:02
CROSSUSDT_1760947200,CROSSUSDT,buy,linear,38.67643672,0.0446867199999942,38.73404826,0.13555,0.13555,0.0,0.15384925,0.130128,0.15384925,0.130128,80,10.0,40.0,2025-10-20 08:00:02
CROSSUSDT_1760947200,CROSSUSDT,buy,linear,39.26420317,0.0,39.43337145,0.13555,0.13555,0.0,0.15384925,0.130128,0.15384925,0.130128,80,10.0,40.0,2025-10-20 12:00:01
LINKUSDT_1760961600,LINKUSDT,buy,linear,38.57971059,1.0637105899999997,38.61322259,18.998,18.998,0.0,21.56273000000001,18.23808,21.56273000000001,18.23808,80,10.0,40.0,2025-10-20 16:00:03
APTUSDT_1761076800,APTUSDT,buy,linear,38.00658125,0.0,38.16457259,3.311,3.311,0.0,3.757985000000001,3.1785599999999996,3.757985000000001,3.1785599999999996,80,10.0,40.0,2025-10-21 20:00:12
ALGOUSDT_1761076800,ALGOUSDT,buy,linear,38.01098125,0.0,38.16457259,0.1894,0.1894,0.0,0.214969,0.181824,0.214969,0.181824,80,10.0,40.0,2025-10-21 20:00:13
PROMPTUSDT_1761076800,PROMPTUSDT,buy,linear,38.00438125,0.0,38.16457259,0.08937,0.08937,0.0,0.10143495,0.0857952,0.10143495,0.0857952,80,10.0,40.0,2025-10-21 20:00:15
PENDLEUSDT_1761076800,PENDLEUSDT,buy,linear,38.00438125,0.0,38.16457259,3.2836,3.2836,0.0,3.726885999999999,3.152256,3.726885999999999,3.152256,80,10.0,40.0,2025-10-21 20:00:16
ZECUSDT_1761177600,ZECUSDT,sell,linear,37.03241888,1.3039188800000048,37.07224328,238.3,238.3,0.0,206.1295,247.832,206.1295,247.832,80,10.0,40.0,2025-10-23 00:00:04
KASUSDT_1761220800,KASUSDT,buy,linear,35.50627078,0.0,35.54153668,0.0511,0.0511,0.0,0.0579985,0.0490559999999999,0.0579985,0.0490559999999999,80,10.0,40.0,2025-10-23 12:00:01
EPTUSDT_1761220800,EPTUSDT,buy,linear,35.40338365,0.0,35.54153668,0.004342,0.004342,0.0,0.00492817,0.00416832,0.00492817,0.00416832,80,10.0,40.0,2025-10-23 12:00:02
HUSDT_1761350400,HUSDT,buy,linear,33.12842944,2.609789439999997,33.1840932,0.3797,0.3797,0.0,0.4309595000000001,0.3645119999999999,0.4309595000000001,0.3645119999999999,80,10.0,40.0,2025-10-25 00:00:24
DOODUSDT_1761364800,DOODUSDT,buy,linear,31.77606424,0.0,31.74525481,0.008896,0.008896,0.0,0.010096959999999999,0.00854016,0.010096959999999999,0.00854016,80,10.0,40.0,2025-10-25 04:00:33
